attraction_name,district,category,type,lat,lon,rating,reviews,popularity_base
Sigiriya Rock Fortress,Matale,Heritage,Historical,7.9579,80.7608,4.7,8500,89.7
Temple of the Tooth (Sri Dalada Maligawa),Kandy,Cultural,Religious,7.293,80.6413,4.6,12000,85.2
Ella Rock,Badulla,Nature,Scenic,6.8456,81.0534,4.5,6000,81.0
Little Adams Peak,Badulla,Nature,Hiking,6.8398,81.0383,4.4,4200,83.2
Galle Fort,Galle,Heritage,Historical,6.0275,80.2167,4.6,9000,86.1
Pinnawala Elephant Orphanage,Kegalle,Eco,Wildlife,7.3599,80.3594,4.2,15000,85.9
Horton Plains (World's End),Nuwara Eliya,Nature,Scenic,6.8009,80.799,4.7,7000,88.6
Adam's Peak (Poonagala trails),Nuwara Eliya,Religious,Pilgrimage,6.8167,80.4667,4.5,5000,83.4
Mirissa Beach,Matara,Beach,Relaxation,5.948,80.4545,4.5,11000,83.8
Yala National Park (quiet areas),Hambantota,Wildlife,Safari,6.3667,81.52,4.4,8000,79.5
Ritigala Forest Monastery,Anuradhapura,Heritage,Historical,8.103,80.5667,4.1,900,71.5
Kumana Bird Sanctuary,Ampara,Eco,Wildlife,7.8314,81.7246,4.3,700,77.0
Hakgala Botanical Garden lesser trails,Nuwara Eliya,Nature,Botanical,6.864,80.75,4.2,1200,75.6
Knuckles Mountain Range viewpoint,Matale,Nature,Hiking,7.267,80.837,4.3,1100,72.2
Ravana Falls (hidden trail),Badulla,Nature,Waterfall,6.858,81.0638,4.3,5000,81.7
Madu River Backwaters (Eco route),Galle,Eco,Boat,6.215,80.0667,4.2,2000,78.0
Kithulgala River Trails (local rafting),Kegalle,Adventure,Rafting,7.245,80.5,4.1,1800,72.5
Poonagala Tea Estate (small estate experience),Nuwara Eliya,Cultural,Tea Estate,6.975,80.8,4.4,1300,78.2
Sembuwatta Lake (hidden),Matale,Nature,Lake,7.2411,80.6833,4.0,600,70.4
Meemure Village (remote cultural),Kandy,Cultural,Village,7.259,80.92,4.3,400,69.0
Bogoda Wooden Bridge,Badulla,Heritage,Bridge,6.9086,81.0697,4.1,300,70.1
Kanneliya Rainforest (lesser trails),Galle,Eco,Rainforest,6.254,80.199,4.2,900,75.7
Mannar Flamingo / Vankalai birding,Mannar,Eco,Wildlife,8.988,79.899,4.1,400,73.2
Phewlaa Village homestay (rural experience),Badulla,Cultural,Homestay,7.12,81.0,4.0,150,68.6
Kudumbigala Ramanaya temple,Ampara,Heritage,Religious,7.25,81.7,4.0,120,60.6
One Tree Hill (hidden viewpoint),Gampaha,Nature,Viewpoint,7.14,80.0,4.0,220,64.0
Dondra Head Lighthouse,Matara,Heritage,Landmark,5.9417,80.55,4.1,800,73.9
Ancient Tombs of Lahugala,Ampara,Heritage,Archaeology,7.32,81.65,3.9,80,63.6
Kuda Oya Reservoir trails,Kegalle,Nature,Trail,7.25,80.47,3.9,200,66.7
Kudagammana Falls (small),Nuwara Eliya,Nature,Waterfall,6.9,80.7,3.9,150,75.8
Horagolla Estate Gardens,Colombo,Scenic,Garden,6.9271,79.9179,4.0,300,69.5
Ancient temples of Polonnaruwa (lesser known),Polonnaruwa,Heritage,Historical,7.9389,81.0,4.2,1600,79.4
